code,description,description_es
0,"Agriculture, forestry and fishery products","Productos de la agricultura, la silvicultura y la pesca"
01,"Products of agriculture, horticulture and market gardening","Productos de la agricultura, la horticultura y la jardinería comercial"
011,"Cereals","Cereales"
012,"Vegetables","Hortalizas"
013,"Fruit and nuts","Frutas y frutos secos"
014,"Oilseeds and oleaginous fruits","Semillas y frutas oleaginosas"
015,"Edible roots and tubers with high starch or inulin content","Raíces y tubérculos comestibles con alto contenido en almidón o inulina"
016,"Stimulant, spice and aromatic crops","Cultivos estimulantes, de especias y aromáticos"
017,"Pulses (dried leguminous vegetables)","Legumbres (vegetales leguminosos secos)"
018,"Sugar crops","Cultivos de azúcar"
019,"Forage products, fibres, living plants, cut flowers and flower buds, unmanufactured tobacco, and natural rubber","Productos de forraje, fibras, plantas vivas, flores y capullos de flores, tabaco en rama, y caucho natural"
02,"Live animals and animal products (excluding meat)","Animales vivos y productos animales (excepto la carne)"
021,"Live animals","Animales vivos"
022,"Raw milk","Leche cruda"
023,"Eggs of hens or other birds in shell, fresh","Huevos de gallinas u otras aves, con cáscara, frescos"
024,"Reproductive materials of animals","Materiales de reproducción de los animales"
029,"Other animal products","Otros productos de animales"
03,"Forestry and logging products","Productos forestales y de la tala"
031,"Wood in the rough","Madera en bruto"
032,"Non-wood forest products","Productos forestales no madereros"
04,"Fish and other fishing products","Pescado y otros productos de la pesca"
041,"Fishes, live, fresh or chilled","Pescado, vivo, fresco o refrigerado"
042,"Crustaceans, not frozen; oysters; other molluscs and aquatic invertebrates, live, fresh or chilled","Crustáceos, sin congelar; ostras; otros moluscos e invertebrados acuáticos, vivos, frescos o refrigerados"
049,"Other aquatic plants and animals","Otras plantas y animales acuáticos"
1,"Ores and minerals; electricity, gas and water","Minerales; electricidad, gas y agua"
11,"Coal and lignite; peat","Carbón y lignito; turba"
110,"Coal and lignite; peat","Carbón y lignito; turba"
12,"Crude petroleum and natural gas","Petróleo crudo y gas natural"
120,"Crude petroleum and natural gas","Petróleo crudo y gas natural"
13,"Uranium and thorium ores and concentrates","Minerales y concentrados de uranio y torio"
130,"Uranium and thorium ores and concentrates","Minerales y concentrados de uranio y torio"
14,"Metal ores","Minerales metálicos"
141,"Iron ores and concentrates, other than roasted iron pyrites","Minerales y concentrados de hierro, excepto pirita de hierro tostadas"
142,"Non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)","Minerales concentrados de metales no ferrosos (excepto minerales y concentrados de uranio o torio)"
15,"Stone, sand and clay","Piedra, arena y arcilla"
151,"Monumental or building stone","Piedra de construcción o para tallado"
152,"Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement","Yeso; anhidrita; fundente calizo; piedra caliza y otras piedras calcáreas del tipo habitualmente utilizado para la fabricación de cal o cemento"
153,"Sands, pebbles, gravel, broken or crushed stone, natural bitumen and asphalt","Arenas, piedras, gravilla, piedras machacadas, bitumen natural y asfalto"
154,"Clays","Arcillas"
16,"Other minerals","Otros minerales"
161,"Chemical and fertilizer minerals","Minerales químicos y fertilizantes"
162,"Salt and pure sodium chloride; sea water","Sal y cloruro de sodio puro; agua de mar"
163,"Precious and semi-precious stones; pumice stone; emery; natural abrasives; other minerals","Piedras preciosas y semipreciosas; piedra pómez; esmeril; abrasivos naturales; otros minerales"
17,"Electricity, town gas, steam and hot water","Electricidad, gas de ciudad, vapor y agua caliente"
171,"Electrical energy","Energía eléctrica"
172,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","Gas de coque, gas de agua, gas de generador y gases similares, excepto los gases de petróleo y de otros hidrocarburos gaseosos"
173,"Steam and hot water","Vapor y agua caliente"
174,"Ice and snow","Hielo y nieve"
18,"Natural water","Agua natural"
180,"Natural water","Agua natural"
2,"Food products, beverages and tobacco; textiles, apparel and leather products","Productos alimenticios, bebidas y tabaco; textiles, prendas de vestir y productos de cuero"
21,"Meat, fish, fruit, vegetables, oils and fats","Carne, pescado, frutas, vegetales, aceites y grasas"
211,"Meat and meat products","Carne y productos de carne"
212,"Prepared and preserved fish, crustaceans, molluscs and other aquatic invertebrates","Conservas y preparados de pescado, crustáceos, moluscos u otros invertebrados acuáticos"
213,"Prepared and preserved vegetables, pulses and potatoes","Vegetales, legumbres y papas preparadas y conservadas"
214,"Prepared and preserved fruit and nuts","Frutas y nueces preparadas y conservadas"
215,"Animal and vegetable oils and fats","Aceites y grasas animales y vegetales"
216,"Cotton linters","Borras de algodón (linters)"
217,"Oil-cake and other residues resulting from the extraction of vegetable fats or oils; flours and meals of oil seeds or oleaginous fruits, except those of mustard; vegetable waxes, except triglycerides; degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes","Residuos de aceites de semillas y otros residuos que son resultados de la extracción de grasas o aceites vegetales; harinas y polvos de aceites de semillas o de frutas oleaginosas, excepto de la mostaza; ceras vegetales, excepto triglicéridos; degrás; residuos que son resultado del tratamiento de sustancias grasas o de ceras de animales o vegetales"
22,"Dairy products and egg products","Productos lácteos y productos de huevo"
221,"Processed liquid milk and cream","Leche liquida y crema procesada"
222,"Other dairy products","Otros productos lácteos"
223,"Eggs, in shell, preserved or cooked","Huevos, en cáscara, conservados o cocidos"
23,"Grain mill products, starches and starch products; other food products","Productos de molienda, productos con almidón o maicena; otros productos de alimenticios"
231,"Grain mill products","Productos de molienda"
232,"Starches and starch products; sugars and sugar syrups n.e.c.","Productos de almidones o maicena; azúcar y jarabes de azúcar, n.c.p."
233,"Preparations used in animal feeding","Preparaciones usadas en la alimentación animal"
234,"Bakery products","Productos de panadería"
235,"Sugar","Azúcar"
236,"Cocoa, chocolate and sugar confectionery","Cacao, chocolate y repostería de azúcar"
237,"Macaroni, noodles, couscous and similar farinaceous products","Macarrones, tallarines, cuscús y productos farináceos similares"
239,"Food products n.e.c.","Productos alimenticios n.c.p."
24,"Beverages","Bebidas"
241,"Ethyl alcohol; spirits, liqueurs and other spirituous beverages","Alcohol etílico, destilados, licores y otras bebidas destiladas"
242,"Wines","Vinos"
243,"Malt liquors and malt","Licores de malta y malta"
244,"Soft drinks; bottled mineral waters","Bebidas no alcohólicas, aguas minerales embotelladas"
25,"Tobacco products","Productos del tabaco"
250,"Tobacco products","Productos del tabaco"
26,"Yarn and thread; woven and tufted textile fabrics","Hilados e hilos; tejidos y telas afelpadas"
261,"Natural textile fibres prepared for spinning","Fibras textiles naturales preparadas para el hilado"
262,"Man-made textile staple fibres processed for spinning","Fibras artificiales o sintéticas, discontinuas procesadas para hilado"
263,"Textile yarn and thread of natural fibres","Hilados e hilos de fibras textiles naturales"
264,"Textile yarn and thread of man-made filaments or staple fibres","Hilados o hilos de filamentos artificiales o sintéticos discontinuas"
265,"Woven fabrics (except special fabrics) of natural fibres other than cotton","Tejidos (excepto telas especiales) de fibras naturales que no sea algodón"
266,"Woven fabrics (except special fabrics) of cotton","Tejidos (excepto telas especiales) de algodón"
267,"Woven fabrics (except special fabrics) of man-made filaments and staple fibres","Tejidos (excepto telas especiales) de filamentos artificiales o sintéticos y fibras discontinuas"
268,"Special fabrics","Tejidos especiales"
27,"Textile articles other than apparel","Artículos textiles que no sean prendas de vestir"
271,"Made-up textile articles","Artículos confeccionados con materias textiles"
272,"Carpets and other textile floor coverings","Alfombras y otros recubrimientos para pisos, de materias textiles"
273,"Twine, cordage, ropes and cables and articles thereof (including netting)","Lienza, cordeles, cuerdas y cables y artículos de los mismos (incluso redes)"
279,"Textiles n.e.c.","Textiles n.c.p."
28,"Knitted or crocheted fabrics; wearing apparel","Tejidos de punto o ganchillo; prendas de vestir"
281,"Knitted or crocheted fabrics","Tejidos de punto o ganchillo"
282,"Wearing apparel, except fur apparel","Prendas de vestir, excepto de peletería"
283,"Tanned or dressed furskins and artificial fur; articles thereof (except headgear)","Pieles, curtidas o adobadas, y pieles artificiales; artículos confeccionados con estas pieles (excepto artículos de tocado)"
29,"Leather and leather products; footwear","Cuero y productos de cuero; calzado"
291,"Tanned or dressed leather; composition leather","Cuero curtido o adobado; cuero artificial o regenerado"
292,"Luggage, handbags and the like; saddlery and harness; other articles of leather","Maletas, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería; otros artículos de cuero"
293,"Footwear, with outer soles and uppers of rubber or plastics, or with uppers of leather or textile materials, other than sports footwear, footwear incorporating a protective metal toe- cap and miscellaneous special footwear","Calzado, con suela y parte superior de caucho o materias plásticas, o parte superior de cuero o materias textiles, que no sea calzado deportivo, calzado con puntera protectora de metal y calzado especial diverso"
294,"Sports footwear, except skating boots","Calzado para deportes, excepto botas para patinaje"
295,"Other footwear, except asbestos footwear, orthopaedic footwear and skating boots","Otros tipos de calzado, excepto calzado de asbesto, calzado ortopédico y botas para patinaje"
296,"Parts of footwear; removable insoles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof","Partes de calzado; plantillas removibles, taloneras y artículos similares; polainas y artículos similares y sus partes"
3,"Other transportable goods, except metal products, machinery and equipment","Otros bienes transportables, excepto productos metálicos, maquinaria y equipo"
31,"Products of wood, cork, straw and plaiting materials","Productos de materiales de madera, corcho, cestería y espartería"
311,"Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers (cross-ties) of wood, not impregnated","Madera aserrada o cortada longitudinalmente, cortada en hojas o descortezada, con un espesor de más de 6 mm.; traviesas (durmientes) de madera para vías de ferrocarril o de tranvía sin impregnar"
312,"Wood continuously shaped along any of its edges or faces; wood wool; wood flour; wood in chips or particles","Madera perfilada longitudinalmente en cualquiera de sus bordes o caras; viruta de madera, aserrín, madera en astillas o partículas"
313,"Wood in the rough, including those treated with paint, stains, creosote or other preservatives; railway or tramway sleepers (cross-ties) of wood, impregnated","Madera en bruto, incluyendo las tratada con pintura, colorantes, creosota u otros preservativos; traviesas (durmientes) de madera para vías de ferrocarril o de tranvía, impregnadas"
314,"Boards and panels","Tableros y paneles"
315,"Veneer sheets; sheets for plywood; densified wood","Hojas de enchapado; hojas de contrachapado; madera compactada"
316,"Builders' joinery and carpentry of wood (including cellular wood panels, assembled parquet panels, shingles and shakes)","Obras y piezas de carpintería para edificios y construcción (incluso tableros de madera celular, tableros armados para pisos de parqué, tablillas y ripias)"
317,"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood (including staves)","Recipientes para embalaje, cajas, cajones, tambores y envases similares, de madera; tambores de madera para cables; pallets, pallets caja y otros dispositivos de carga, de madera; paneles, barriles, tinajas, tinas y demás productos de tonelería y sus partes (incluyendo duelas), de madera"
319,"Other products of wood; articles of cork, plaiting materials and straw","Otros productos de madera; artículos de corcho, materiales trenzables y paja"
32,"Pulp, paper and paper products; printed matter and related articles","Pulpa de papel, papel y productos de papel; impresos, y artículos similares"
321,"Pulp, paper and paperboard","Pulpa de papel, papel y cartón"
322,"Books, in print","Libros, impresos"
323,"Newspapers and periodicals, daily, in print","Periódicos y revistas, diarios, en forma impresa"
324,"Newspapers and periodicals, other than daily, in print","Periódicos y revistas, que no sean publicaciones diarias, en forma impresa"
325,"Printed maps; music, printed or in manuscript; postcards, greeting cards, pictures and plans","Mapas impresos; partituras impresas o manuscritas; tarjetas postales, tarjetas de felicitación, grabados y planos"
326,"Stamps, cheque forms, banknotes, stock certificates, brochures and leaflets, advertising material and other printed matter","Estampillas, talonarios de cheques, billetes de banco, certificados de acciones, folletos y panfletos, material de publicidad y otros impresos"
327,"Registers, account books, notebooks, letter pads, diaries and similar articles, blotting-pads, binders, file covers, forms and other articles of stationery, of paper or paperboard","Libros de registro, libros de contabilidad, cuadernillos de notas, bloques para cartas, agendas y artículos similares, secantes, encuadernadores, clasificadores para archivos, formularios y otros artículos de escritorio de papel o cartón"
328,"Composed type, prepared printing plates or cylinders, impressed lithographic stones or other impressed media for use in printing","Tipos de impresión, placas o cilindros de impresión preparados, piedras litográficas impresas u otros medios impresos para su uso en la impresión"
33,"Coke oven products; refined petroleum products; nuclear fuel","Productos de horno de coque; productos de petróleo refinado; combustibles nucleares"
331,"Coke and semi-coke of coal, of lignite or of peat; retort carbon","Coque y semicoque de hulla, de lignito o de turba; carbón de retorta"
332,"Tar distilled from coal, from lignite or from peat, and other mineral tars","Alquitrán destilado de hulla, lignito o turba y otros alquitranes minerales"
